player_id,player,pos,team,url
MayfBa00,Baker Mayfield,QB,CAR,https://www.pro-football-reference.com/req/20180910/images/headshots/MayfBa00_2020.jpg
AndeRo04,Robbie Anderson,WR,ARI,https://www.pro-football-reference.com/req/20180910/images/headshots/AndeRo04_2022.jpg
ThomIa00,Ian Thomas,TE,CAR,https://www.pro-football-reference.com/req/20180910/images/headshots/ThomIa00_2022.jpg
SmitSh03,Shi Smith,WR,CAR,https://www.pro-football-reference.com/req/20180910/images/headshots/SmitSh03_2022.jpg
TremTo00,Tommy Tremble,TE,CAR,https://www.pro-football-reference.com/req/20180910/images/headshots/TremTo00_2022.jpg
PeopDo00,Donovan Peoples-Jones,WR,CLE,https://www.pro-football-reference.com/req/20180910/images/headshots/PeopDo00_2022.jpg
BryaHa00,Harrison Bryant,TE,CLE,https://www.pro-football-reference.com/req/20180910/images/headshots/BryaHa00_2022.jpg
BellDa02,David Bell,WR,CLE,https://www.pro-football-reference.com/req/20180910/images/headshots/BellDa02_2022.jpg
JameJe00,Jesse James,TE,CLE,https://www.pro-football-reference.com/req/20180910/images/headshots/JameJe00_2021.jpg
RiccGi00,Giovanni Ricci,TE,CAR,https://www.pro-football-reference.com/req/20180910/images/headshots/RiccGi00_2022.jpg
BrisJa00,Jacoby Brissett,QB,CLE,https://www.pro-football-reference.com/req/20180910/images/headshots/BrisJa00_2022.jpg
MoorD.00,D.J. Moore,WR,CAR,https://www.pro-football-reference.com/req/20180910/images/headshots/MoorD.00_2018.jpg
ForeDO00,D'Onta Foreman,RB,CAR,https://www.pro-football-reference.com/req/20180910/images/headshots/ForeDO00_2022.jpg
HubbCh01,Chuba Hubbard,RB,CAR,https://www.pro-football-reference.com/req/20180910/images/headshots/HubbCh01_2021.jpg
ChubNi00,Nick Chubb,RB,CLE,https://www.pro-football-reference.com/req/20180910/images/headshots/ChubNi00_2022.jpg
HuntKa00,Kareem Hunt,RB,CLE,https://www.pro-football-reference.com/req/20180910/images/headshots/HuntKa00_2022.jpg
SchwAn00,Anthony Schwartz,WR,CLE,https://www.pro-football-reference.com/req/20180910/images/headshots/SchwAn00_2022.jpg
JennJa00,Jauan Jennings,WR,SFO,https://www.pro-football-reference.com/req/20180910/images/headshots/JennJa00_2022.jpg
LancTr00,Trey Lance,QB,SFO,https://www.pro-football-reference.com/req/20180910/images/headshots/LancTr00_2022.jpg
SamuDe00,Deebo Samuel,WR,SFO,https://www.pro-football-reference.com/req/20180910/images/headshots/SamuDe00_2022.jpg
MitcEl00,Elijah Mitchell,RB,SFO,https://www.pro-football-reference.com/req/20180910/images/headshots/MitcEl00_2022.jpg
WilsJe01,Jeff Wilson,RB,MIA,https://www.pro-football-reference.com/req/20180910/images/headshots/WilsJe01_2022.jpg
