Off_abbrev,Def_abbrev,fga,fgm,xpa,xpm,fga_0_39,fgm_0_39,fga_40_49,fgm_40_49,fga_50,fgm_50,player,vis_team,home_team,week
NOR,CAR,2,0,2,2,1,0,1,0,0,0,Wil Lutz,NOR,CAR,3
CHI,HOU,3,3,2,2,0,0,0,0,0,0,Cairo Santos,HOU,CHI,3
HOU,CHI,2,2,2,2,2,2,0,0,0,0,Ka'imi Fairbairn,HOU,CHI,3
IND,KAN,2,2,2,2,0,0,1,1,1,1,Chase McLaughlin,KAN,IND,3
KAN,IND,2,1,1,0,0,0,0,0,0,0,Matt Ammendola,KAN,IND,3
ARI,LAR,4,4,0,0,0,0,0,0,0,0,Matt Prater,LAR,ARI,3
LAR,ARI,2,2,2,2,0,0,0,0,0,0,Matt Gay,LAR,ARI,3
DEN,SFO,2,1,0,0,0,0,0,0,2,1,Brandon McManus,SFO,DEN,3
SFO,DEN,1,1,1,1,0,0,0,0,1,1,Robbie Gould,SFO,DEN,3
BUF,MIA,2,1,2,2,2,1,0,0,0,0,Tyler Bass,BUF,MIA,3
FA,0,0,0,3,3,0,0,0,0,0,0,Jason Sanders,BUF,MIA,3
DET,MIN,3,1,3,3,0,0,2,1,1,0,Austin Seibert,DET,MIN,3
MIN,DET,2,0,4,4,0,0,0,0,2,0,Greg Joseph,DET,MIN,3
BAL,NWE,1,1,5,4,0,0,0,0,1,1,Justin Tucker,BAL,NWE,3
NWE,BAL,2,2,2,2,0,0,0,0,0,0,Nick Folk,BAL,NWE,3
NYJ,CIN,4,4,0,0,0,0,2,2,2,2,Greg Zuerlein,CIN,NYJ,3
CIN,NYJ,3,2,3,3,1,1,2,1,0,0,Evan McPherson,CIN,NYJ,3
LVR,TEN,3,3,1,1,0,0,0,0,0,0,Daniel Carlson,LVR,TEN,3
TEN,LVR,1,1,3,3,0,0,0,0,0,0,Randy Bullock,LVR,TEN,3
LAC,JAX,1,1,1,1,1,1,0,0,0,0,Dustin Hopkins,JAX,LAC,3
JAX,LAC,3,3,3,3,3,3,0,0,0,0,Riley Patterson,JAX,LAC,3
ATL,SEA,2,2,3,3,0,0,1,1,1,1,Younghoe Koo,ATL,SEA,3
SEA,ATL,3,3,2,2,3,3,0,0,0,0,Jason Myers,ATL,SEA,3
FA,0,0,0,2,2,0,0,0,0,0,0,Mason Crosby,GNB,TAM,3
TAM,GNB,2,2,0,0,0,0,2,2,0,0,Ryan Succop,GNB,TAM,3
FA,0,0,1,3,3,1,1,0,0,0,0,Jake Elliott,PHI,ERROR - abbrev_team,3
NYG,DAL,4,3,1,1,0,0,2,1,2,2,Graham Gano,DAL,NYG,3
DAL,NYG,4,3,2,2,2,2,1,1,1,0,Brett Maher,DAL,NYG,3
CIN,MIA,2,2,3,3,1,1,0,0,1,1,Evan McPherson,MIA,CIN,4
MIA,CIN,4,3,1,0,2,2,1,1,1,0,Jason Sanders,MIA,CIN,4
ATL,CLE,3,3,2,2,2,2,1,1,0,0,Younghoe Koo,CLE,ATL,4
CLE,ATL,2,2,2,2,1,1,1,1,0,0,Cade York,CLE,ATL,4
ARI,CAR,2,2,2,2,2,2,0,0,0,0,Matt Prater,ARI,CAR,4
CAR,ARI,1,1,1,1,0,0,0,0,0,0,Eddy Pineiro,ARI,CAR,4
IND,TEN,2,1,2,2,0,0,0,0,0,0,Chase McLaughlin,TEN,IND,4
TEN,IND,1,1,3,3,0,0,0,0,0,0,Randy Bullock,TEN,IND,4
DAL,ERROR - abbrev_team,4,4,2,1,2,2,1,1,1,1,Brett Maher,ERROR - abbrev_team,DAL,4
FA,DAL,1,1,1,1,0,0,1,1,0,0,Joey Slye,ERROR - abbrev_team,DAL,4
DET,SEA,1,1,4,2,0,0,1,1,0,0,Dominik Eberle,SEA,DET,4
SEA,DET,3,2,6,6,2,1,0,0,1,1,Jason Myers,SEA,DET,4
GNB,NWE,2,2,3,3,2,2,0,0,0,0,Mason Crosby,NWE,GNB,4
NWE,GNB,1,1,3,3,1,1,0,0,0,0,Nick Folk,NWE,GNB,4
HOU,LAC,2,1,3,3,0,0,2,1,0,0,Ka'imi Fairbairn,LAC,HOU,4
LAC,HOU,2,2,4,4,0,0,0,0,0,0,Dustin Hopkins,LAC,HOU,4
MIN,NOR,5,5,2,1,3,3,2,2,0,0,Greg Joseph,MIN,NOR,4
NOR,MIN,2,1,2,2,0,0,0,0,2,1,Wil Lutz,MIN,NOR,4
CHI,NYG,4,4,0,0,3,3,1,1,0,0,Michael Badgley,CHI,NYG,4
NYG,CHI,3,2,2,2,1,0,2,2,0,0,Graham Gano,CHI,NYG,4
FA,0,0,1,3,2,1,1,0,0,0,0,Jake Elliott,JAX,PHI,4
FA,0,0,0,3,3,0,0,0,0,0,0,Riley Patterson,JAX,PHI,4
NYJ,PIT,1,1,3,3,1,1,0,0,0,0,Greg Zuerlein,NYJ,PIT,4
PIT,NYJ,2,2,2,2,0,0,0,0,2,2,Chris Boswell,NYJ,PIT,4
DEN,LVR,1,1,3,2,0,0,0,0,0,0,Brandon McManus,DEN,LVR,4
LVR,DEN,4,4,3,2,4,4,0,0,0,0,Daniel Carlson,DEN,LVR,4
BAL,BUF,2,2,2,2,0,0,1,1,1,1,Justin Tucker,BUF,BAL,4
BUF,BAL,3,3,2,2,0,0,0,0,0,0,Tyler Bass,BUF,BAL,4
KAN,TAM,2,2,5,5,1,1,1,1,0,0,Matthew Wright,KAN,TAM,4
TAM,KAN,1,1,4,4,0,0,1,1,0,0,Ryan Succop,KAN,TAM,4
LAR,SFO,3,3,0,0,3,3,0,0,0,0,Matt Gay,LAR,SFO,4
SFO,LAR,2,1,3,3,0,0,0,0,0,0,Robbie Gould,LAR,SFO,4
DEN,IND,4,3,0,0,0,0,0,0,0,0,Brandon McManus,IND,DEN,5
IND,DEN,4,4,0,0,1,1,1,1,2,2,Chase McLaughlin,IND,DEN,5
BUF,PIT,2,1,5,5,1,1,1,0,0,0,Tyler Bass,PIT,BUF,5
PIT,BUF,3,1,0,0,2,1,1,0,0,0,Chris Boswell,PIT,BUF,5
CAR,SFO,4,3,0,0,2,2,2,1,0,0,Eddy Pineiro,SFO,CAR,5
SFO,CAR,2,1,3,3,0,0,2,1,0,0,Robbie Gould,SFO,CAR,5
FA,0,0,0,2,1,0,0,0,0,0,0,Mitch Wishnowsky,SFO,CAR,5
CLE,LAC,2,0,4,4,0,0,1,0,1,0,Cade York,LAC,CLE,5
LAC,CLE,3,3,3,3,3,3,0,0,0,0,Taylor Bertolet,LAC,CLE,5
ARI,PHI,2,1,2,2,1,1,1,0,0,0,Matt Ammendola,PHI,ARI,5
PHI,ARI,2,2,2,2,0,0,0,0,0,0,Cameron Dicker,PHI,ARI,5
GNB,NYG,2,2,2,2,0,0,2,2,0,0,Mason Crosby,NYG,GNB,5
NYG,GNB,2,2,3,3,1,1,1,1,0,0,Graham Gano,NYG,GNB,5
HOU,JAX,2,2,1,1,0,0,1,1,1,1,Ka'imi Fairbairn,HOU,JAX,5
JAX,HOU,2,2,0,0,0,0,0,0,0,0,Riley Patterson,HOU,JAX,5
CHI,MIN,3,3,1,1,0,0,2,2,1,1,Cairo Santos,CHI,MIN,5
MIN,CHI,2,0,3,3,0,0,0,0,2,0,Greg Joseph,CHI,MIN,5
NOR,SEA,1,1,4,4,0,0,0,0,1,1,Wil Lutz,SEA,NOR,5
SEA,NOR,2,2,3,2,1,1,0,0,1,1,Jason Myers,SEA,NOR,5
NWE,DET,5,5,2,2,4,4,1,1,0,0,Nick Folk,DET,NWE,5
MIA,NYJ,2,1,2,2,0,0,1,1,1,0,Jason Sanders,MIA,NYJ,5
NYJ,MIA,1,1,5,5,1,1,0,0,0,0,Greg Zuerlein,MIA,NYJ,5
DAL,LAR,3,3,1,1,0,0,0,0,0,0,Brett Maher,DAL,LAR,5
LAR,DAL,2,1,1,1,1,1,0,0,1,0,Matt Gay,DAL,LAR,5
BAL,CIN,4,4,1,1,2,2,1,1,1,1,Justin Tucker,CIN,BAL,5
CIN,BAL,1,1,2,2,0,0,0,0,0,0,Evan McPherson,CIN,BAL,5
ATL,TAM,1,0,1,1,0,0,0,0,1,0,Younghoe Koo,ATL,TAM,5
TAM,ATL,2,2,1,1,1,1,1,1,0,0,Ryan Succop,ATL,TAM,5
FA,TEN,1,1,2,2,0,0,0,0,0,0,Joey Slye,TEN,ERROR - abbrev_team,5
FA,0,0,0,3,3,0,0,0,0,0,0,Randy Bullock,TEN,ERROR - abbrev_team,5
KAN,LVR,2,1,3,3,0,0,0,0,0,0,Matthew Wright,LVR,KAN,5
LVR,KAN,3,3,2,2,0,0,1,1,2,2,Daniel Carlson,LVR,KAN,5
FA,CHI,3,2,0,0,2,2,1,0,0,0,Joey Slye,ERROR - abbrev_team,CHI,6
