Off_abbrev,Def_abbrev,fga,fgm,xpa,xpm,fga_0_39,fgm_0_39,fga_40_49,fgm_40_49,fga_50,fgm_50,player,vis_team,home_team,week
SFO,LAC,3,3,2,1,3,3,0,0,0,0,Robbie Gould,LAC,SFO,10
SEA,TAM,1,1,1,1,0,0,0,0,1,1,Jason Myers,SEA,TAM,10
TAM,SEA,1,0,3,3,0,0,0,0,1,0,Ryan Succop,SEA,TAM,10
FA,PHI,4,4,2,2,1,1,1,1,2,2,Joey Slye,ERROR - abbrev_team,PHI,10
FA,0,0,0,3,3,0,0,0,0,0,0,Jake Elliott,ERROR - abbrev_team,PHI,10
GNB,TEN,1,1,1,0,0,0,0,0,0,0,Mason Crosby,TEN,GNB,11
FA,0,0,0,4,3,0,0,0,0,0,0,Josh Lambo,TEN,GNB,11
CHI,ATL,2,1,3,3,0,0,1,1,1,0,Cairo Santos,CHI,ATL,11
ATL,CHI,2,2,3,3,0,0,1,1,1,1,Younghoe Koo,CHI,ATL,11
BUF,CLE,6,6,1,1,3,3,2,2,1,1,Tyler Bass,CLE,BUF,11
CLE,BUF,2,1,2,2,2,1,0,0,0,0,Cade York,CLE,BUF,11
FA,0,0,1,2,2,0,0,0,0,0,0,Jake Elliott,PHI,IND,11
IND,PHI,4,3,1,1,2,2,0,0,2,1,Chase McLaughlin,PHI,IND,11
DEN,LVR,4,3,1,1,0,0,0,0,0,0,Brandon McManus,LVR,DEN,11
LVR,DEN,4,3,1,1,1,1,1,0,2,2,Daniel Carlson,LVR,DEN,11
FA,HOU,3,3,2,2,0,0,0,0,0,0,Joey Slye,ERROR - abbrev_team,HOU,11
HOU,ERROR - abbrev_team,1,1,1,1,1,1,0,0,0,0,Ka'imi Fairbairn,ERROR - abbrev_team,HOU,11
DAL,MIN,4,4,4,4,1,1,0,0,3,3,Brett Maher,DAL,MIN,11
MIN,DAL,1,1,0,0,1,1,0,0,0,0,Greg Joseph,DAL,MIN,11
NOR,LAR,2,2,3,3,0,0,0,0,0,0,Wil Lutz,LAR,NOR,11
LAR,NOR,2,2,2,2,1,1,0,0,1,1,Matt Gay,LAR,NOR,11
NYJ,NWE,1,1,0,0,0,0,1,1,0,0,Greg Zuerlein,NYJ,NWE,11
NWE,NYJ,3,1,1,1,1,1,2,0,0,0,Nick Folk,NYJ,NWE,11
DET,NYG,1,1,4,4,1,1,0,0,0,0,Michael Badgley,DET,NYG,11
FA,0,0,0,2,0,0,0,0,0,0,0,Graham Gano,DET,NYG,11
CIN,PIT,3,3,4,4,0,0,2,2,1,1,Evan McPherson,CIN,PIT,11
PIT,CIN,3,3,3,3,2,2,1,1,0,0,Matthew Wright,CIN,PIT,11
CAR,BAL,1,1,0,0,0,0,0,0,0,0,Eddy Pineiro,CAR,BAL,11
BAL,CAR,2,2,1,1,2,2,0,0,0,0,Justin Tucker,CAR,BAL,11
KAN,LAC,3,3,3,3,2,2,0,0,1,1,Harrison Butker,KAN,LAC,11
LAC,KAN,2,2,3,3,1,1,1,1,0,0,Cameron Dicker,KAN,LAC,11
SFO,ARI,1,1,5,5,0,0,0,0,0,0,Robbie Gould,SFO,ARI,11
ARI,SFO,1,1,1,1,0,0,1,1,0,0,Matt Prater,SFO,ARI,11
DAL,NYG,1,0,4,4,0,0,1,0,0,0,Brett Maher,NYG,DAL,12
NYG,DAL,2,2,2,2,0,0,1,1,1,1,Graham Gano,NYG,DAL,12
BUF,DET,2,2,3,2,0,0,2,2,0,0,Tyler Bass,BUF,DET,12
DET,BUF,2,1,2,2,1,0,0,0,1,1,Michael Badgley,BUF,DET,12
MIN,NWE,2,2,4,3,2,2,0,0,0,0,Greg Joseph,NWE,MIN,12
NWE,MIN,4,4,2,2,3,3,1,1,0,0,Nick Folk,NWE,MIN,12
CAR,DEN,3,3,2,2,2,2,1,1,0,0,Eddy Pineiro,DEN,CAR,12
DEN,CAR,2,1,1,1,1,1,0,0,1,0,Brandon McManus,DEN,CAR,12
CLE,TAM,2,1,2,2,1,0,0,0,1,1,Cade York,TAM,CLE,12
TAM,CLE,1,1,2,2,0,0,1,1,0,0,Ryan Succop,TAM,CLE,12
ARI,LAC,2,1,3,3,0,0,2,1,0,0,Matt Prater,LAC,ARI,12
LAC,ARI,1,1,2,2,0,0,0,0,0,0,Cameron Dicker,LAC,ARI,12
BAL,JAX,5,4,1,1,3,3,0,0,2,1,Justin Tucker,BAL,JAX,12
JAX,BAL,2,2,2,2,0,0,0,0,0,0,Riley Patterson,BAL,JAX,12
KAN,LAR,4,4,2,2,0,0,0,0,0,0,Harrison Butker,LAR,KAN,12
LAR,KAN,1,1,1,1,0,0,1,1,0,0,Matt Gay,LAR,KAN,12
HOU,MIA,1,1,0,0,1,1,0,0,0,0,Ka'imi Fairbairn,HOU,MIA,12
MIA,HOU,3,3,3,3,0,0,0,0,0,0,Jason Sanders,HOU,MIA,12
CHI,NYJ,1,1,1,1,1,1,0,0,0,0,Cairo Santos,CHI,NYJ,12
NYJ,CHI,2,1,4,4,0,0,0,0,2,1,Greg Zuerlein,CHI,NYJ,12
CIN,TEN,2,2,2,2,0,0,0,0,0,0,Evan McPherson,CIN,TEN,12
TEN,CIN,4,3,1,1,4,3,0,0,0,0,Caleb Shudak,CIN,TEN,12
GNB,PHI,2,2,4,3,2,2,0,0,0,0,Mason Crosby,GNB,PHI,12
FA,0,0,2,5,4,1,1,0,0,1,1,Jake Elliott,GNB,PHI,12
SEA,LVR,2,2,4,4,0,0,0,0,0,0,Jason Myers,LVR,SEA,12
LVR,SEA,3,2,4,4,2,2,0,0,1,0,Daniel Carlson,LVR,SEA,12
NOR,SFO,1,0,0,0,0,0,1,0,0,0,Wil Lutz,NOR,SFO,12
SFO,NOR,2,2,1,1,1,1,1,1,0,0,Robbie Gould,NOR,SFO,12
FA,ATL,2,2,2,1,1,1,1,1,0,0,Joey Slye,ATL,ERROR - abbrev_team,12
ATL,ERROR - abbrev_team,3,2,1,1,0,0,2,2,1,0,Younghoe Koo,ATL,ERROR - abbrev_team,12
IND,PIT,2,1,2,2,0,0,0,0,2,1,Chase McLaughlin,PIT,IND,12
PIT,IND,3,3,1,1,0,0,0,0,0,0,Matthew Wright,PIT,IND,12
BUF,,0,0,0,0,0,0,0,0,0,0,Tyler Bass,,,7
LAR,,0,0,0,0,0,0,0,0,0,0,Matt Gay,,,7
CLE,,0,0,0,0,0,0,0,0,0,0,Cade York,,,9
SFO,,0,0,0,0,0,0,0,0,0,0,Robbie Gould,,,9
CHI,,0,0,0,0,0,0,0,0,0,0,Cairo Santos,,,4
CIN,,0,0,0,0,0,0,0,0,0,0,Evan McPherson,,,10
PIT,,0,0,0,0,0,0,0,0,0,0,Chris Boswell,,,8
PIT,,0,0,0,0,0,0,0,0,0,0,Chris Boswell,,,9
PIT,,0,0,0,0,0,0,0,0,0,0,Chris Boswell,,,10
PIT,,0,0,0,0,0,0,0,0,0,0,Chris Boswell,,,11
PIT,,0,0,0,0,0,0,0,0,0,0,Chris Boswell,,,12
KAN,,0,0,0,0,0,0,0,0,0,0,Harrison Butker,,,2
KAN,,0,0,0,0,0,0,0,0,0,0,Harrison Butker,,,3
KAN,,0,0,0,0,0,0,0,0,0,0,Harrison Butker,,,4
KAN,,0,0,0,0,0,0,0,0,0,0,Harrison Butker,,,5
KAN,,0,0,0,0,0,0,0,0,0,0,Harrison Butker,,,8
ARI,,0,0,0,0,0,0,0,0,0,0,Matt Prater,,,5
ARI,,0,0,0,0,0,0,0,0,0,0,Matt Prater,,,6
ARI,,0,0,0,0,0,0,0,0,0,0,Matt Prater,,,7
ARI,,0,0,0,0,0,0,0,0,0,0,Matt Prater,,,10
FA,,0,0,0,0,0,0,0,0,0,0,Justin Reid,,,2
FA,,0,0,0,0,0,0,0,0,0,0,Justin Reid,,,3
FA,,0,0,0,0,0,0,0,0,0,0,Justin Reid,,,4
FA,,0,0,0,0,0,0,0,0,0,0,Justin Reid,,,5
FA,,0,0,0,0,0,0,0,0,0,0,Justin Reid,,,6
FA,,0,0,0,0,0,0,0,0,0,0,Justin Reid,,,7
FA,,0,0,0,0,0,0,0,0,0,0,Justin Reid,,,8
FA,,0,0,0,0,0,0,0,0,0,0,Justin Reid,,,9
FA,,0,0,0,0,0,0,0,0,0,0,Justin Reid,,,10
FA,,0,0,0,0,0,0,0,0,0,0,Justin Reid,,,11
FA,,0,0,0,0,0,0,0,0,0,0,Justin Reid,,,12
TAM,,0,0,0,0,0,0,0,0,0,0,Ryan Succop,,,11
DAL,,0,0,0,0,0,0,0,0,0,0,Brett Maher,,,9
FA,,0,0,0,0,0,0,0,0,0,0,Jake Elliott,,,5
FA,,0,0,0,0,0,0,0,0,0,0,Jake Elliott,,,7
DET,,0,0,0,0,0,0,0,0,0,0,Austin Seibert,,,4
DET,,0,0,0,0,0,0,0,0,0,0,Austin Seibert,,,5
DET,,0,0,0,0,0,0,0,0,0,0,Austin Seibert,,,6
DET,,0,0,0,0,0,0,0,0,0,0,Austin Seibert,,,7
DET,,0,0,0,0,0,0,0,0,0,0,Austin Seibert,,,8
DET,,0,0,0,0,0,0,0,0,0,0,Austin Seibert,,,9
DET,,0,0,0,0,0,0,0,0,0,0,Austin Seibert,,,10
DET,,0,0,0,0,0,0,0,0,0,0,Austin Seibert,,,11
DET,,0,0,0,0,0,0,0,0,0,0,Austin Seibert,,,12
HOU,,0,0,0,0,0,0,0,0,0,0,Ka'imi Fairbairn,,,6
ARI,,0,0,0,0,0,0,0,0,0,0,Rodrigo Blankenship,,,2
ARI,,0,0,0,0,0,0,0,0,0,0,Rodrigo Blankenship,,,3
ARI,,0,0,0,0,0,0,0,0,0,0,Rodrigo Blankenship,,,4
ARI,,0,0,0,0,0,0,0,0,0,0,Rodrigo Blankenship,,,5
ARI,,0,0,0,0,0,0,0,0,0,0,Rodrigo Blankenship,,,6
ARI,,0,0,0,0,0,0,0,0,0,0,Rodrigo Blankenship,,,8
ARI,,0,0,0,0,0,0,0,0,0,0,Rodrigo Blankenship,,,9
ARI,,0,0,0,0,0,0,0,0,0,0,Rodrigo Blankenship,,,10
ARI,,0,0,0,0,0,0,0,0,0,0,Rodrigo Blankenship,,,11
ARI,,0,0,0,0,0,0,0,0,0,0,Rodrigo Blankenship,,,12
MIA,,0,0,0,0,0,0,0,0,0,0,Jason Sanders,,,11
NWE,,0,0,0,0,0,0,0,0,0,0,Nick Folk,,,10
MIN,,0,0,0,0,0,0,0,0,0,0,Greg Joseph,,,7
NYJ,,0,0,0,0,0,0,0,0,0,0,Greg Zuerlein,,,10
BAL,,0,0,0,0,0,0,0,0,0,0,Justin Tucker,,,10
NYG,,0,0,0,0,0,0,0,0,0,0,Graham Gano,,,9
TEN,,0,0,0,0,0,0,0,0,0,0,Randy Bullock,,,6
TEN,,0,0,0,0,0,0,0,0,0,0,Randy Bullock,,,11
TEN,,0,0,0,0,0,0,0,0,0,0,Randy Bullock,,,12
LVR,,0,0,0,0,0,0,0,0,0,0,Daniel Carlson,,,6
LVR,,0,0,0,0,0,0,0,0,0,0,Daniel Carlson,,,8
LAC,,0,0,0,0,0,0,0,0,0,0,Dustin Hopkins,,,5
LAC,,0,0,0,0,0,0,0,0,0,0,Dustin Hopkins,,,7
LAC,,0,0,0,0,0,0,0,0,0,0,Dustin Hopkins,,,8
LAC,,0,0,0,0,0,0,0,0,0,0,Dustin Hopkins,,,9
LAC,,0,0,0,0,0,0,0,0,0,0,Dustin Hopkins,,,10
LAC,,0,0,0,0,0,0,0,0,0,0,Dustin Hopkins,,,11
LAC,,0,0,0,0,0,0,0,0,0,0,Dustin Hopkins,,,12
FA,,0,0,0,0,0,0,0,0,0,0,Joey Slye,,,3
JAX,,0,0,0,0,0,0,0,0,0,0,Riley Patterson,,,11
DEN,,0,0,0,0,0,0,0,0,0,0,Brandon McManus,,,9
SEA,,0,0,0,0,0,0,0,0,0,0,Jason Myers,,,11
ARI,,0,0,0,0,0,0,0,0,0,0,Matt Ammendola,,,1
ARI,,0,0,0,0,0,0,0,0,0,0,Matt Ammendola,,,4
ARI,,0,0,0,0,0,0,0,0,0,0,Matt Ammendola,,,7
ARI,,0,0,0,0,0,0,0,0,0,0,Matt Ammendola,,,8
ARI,,0,0,0,0,0,0,0,0,0,0,Matt Ammendola,,,9
ARI,,0,0,0,0,0,0,0,0,0,0,Matt Ammendola,,,10
ARI,,0,0,0,0,0,0,0,0,0,0,Matt Ammendola,,,11
ARI,,0,0,0,0,0,0,0,0,0,0,Matt Ammendola,,,12
IND,,0,0,0,0,0,0,0,0,0,0,Chase McLaughlin,,,1
IND,,0,0,0,0,0,0,0,0,0,0,Chase McLaughlin,,,2
DET,,0,0,0,0,0,0,0,0,0,0,Dominik Eberle,,,1
DET,,0,0,0,0,0,0,0,0,0,0,Dominik Eberle,,,2
DET,,0,0,0,0,0,0,0,0,0,0,Dominik Eberle,,,3
DET,,0,0,0,0,0,0,0,0,0,0,Dominik Eberle,,,5
DET,,0,0,0,0,0,0,0,0,0,0,Dominik Eberle,,,6
DET,,0,0,0,0,0,0,0,0,0,0,Dominik Eberle,,,7
DET,,0,0,0,0,0,0,0,0,0,0,Dominik Eberle,,,8
DET,,0,0,0,0,0,0,0,0,0,0,Dominik Eberle,,,9
DET,,0,0,0,0,0,0,0,0,0,0,Dominik Eberle,,,10
DET,,0,0,0,0,0,0,0,0,0,0,Dominik Eberle,,,11
DET,,0,0,0,0,0,0,0,0,0,0,Dominik Eberle,,,12
DET,,0,0,0,0,0,0,0,0,0,0,Michael Badgley,,,1
DET,,0,0,0,0,0,0,0,0,0,0,Michael Badgley,,,2
DET,,0,0,0,0,0,0,0,0,0,0,Michael Badgley,,,3
DET,,0,0,0,0,0,0,0,0,0,0,Michael Badgley,,,5
DET,,0,0,0,0,0,0,0,0,0,0,Michael Badgley,,,6
PIT,,0,0,0,0,0,0,0,0,0,0,Matthew Wright,,,1
PIT,,0,0,0,0,0,0,0,0,0,0,Matthew Wright,,,2
PIT,,0,0,0,0,0,0,0,0,0,0,Matthew Wright,,,3
PIT,,0,0,0,0,0,0,0,0,0,0,Matthew Wright,,,6
PIT,,0,0,0,0,0,0,0,0,0,0,Matthew Wright,,,7
PIT,,0,0,0,0,0,0,0,0,0,0,Matthew Wright,,,8
PIT,,0,0,0,0,0,0,0,0,0,0,Matthew Wright,,,9
FA,,0,0,0,0,0,0,0,0,0,0,Mitch Wishnowsky,,,1
FA,,0,0,0,0,0,0,0,0,0,0,Mitch Wishnowsky,,,2
FA,,0,0,0,0,0,0,0,0,0,0,Mitch Wishnowsky,,,3
FA,,0,0,0,0,0,0,0,0,0,0,Mitch Wishnowsky,,,4
FA,,0,0,0,0,0,0,0,0,0,0,Mitch Wishnowsky,,,6
FA,,0,0,0,0,0,0,0,0,0,0,Mitch Wishnowsky,,,7
FA,,0,0,0,0,0,0,0,0,0,0,Mitch Wishnowsky,,,8
FA,,0,0,0,0,0,0,0,0,0,0,Mitch Wishnowsky,,,9
FA,,0,0,0,0,0,0,0,0,0,0,Mitch Wishnowsky,,,10
FA,,0,0,0,0,0,0,0,0,0,0,Mitch Wishnowsky,,,11
FA,,0,0,0,0,0,0,0,0,0,0,Mitch Wishnowsky,,,12
FA,,0,0,0,0,0,0,0,0,0,0,Taylor Bertolet,,,1
FA,,0,0,0,0,0,0,0,0,0,0,Taylor Bertolet,,,2
FA,,0,0,0,0,0,0,0,0,0,0,Taylor Bertolet,,,3
FA,,0,0,0,0,0,0,0,0,0,0,Taylor Bertolet,,,4
FA,,0,0,0,0,0,0,0,0,0,0,Taylor Bertolet,,,6
FA,,0,0,0,0,0,0,0,0,0,0,Taylor Bertolet,,,8
FA,,0,0,0,0,0,0,0,0,0,0,Taylor Bertolet,,,9
FA,,0,0,0,0,0,0,0,0,0,0,Taylor Bertolet,,,10
FA,,0,0,0,0,0,0,0,0,0,0,Taylor Bertolet,,,11
FA,,0,0,0,0,0,0,0,0,0,0,Taylor Bertolet,,,12
LAC,,0,0,0,0,0,0,0,0,0,0,Cameron Dicker,,,1
LAC,,0,0,0,0,0,0,0,0,0,0,Cameron Dicker,,,2
LAC,,0,0,0,0,0,0,0,0,0,0,Cameron Dicker,,,3
LAC,,0,0,0,0,0,0,0,0,0,0,Cameron Dicker,,,4
LAC,,0,0,0,0,0,0,0,0,0,0,Cameron Dicker,,,6
LAC,,0,0,0,0,0,0,0,0,0,0,Cameron Dicker,,,7
LAC,,0,0,0,0,0,0,0,0,0,0,Cameron Dicker,,,8
PIT,,0,0,0,0,0,0,0,0,0,0,Nick Sciba,,,1
PIT,,0,0,0,0,0,0,0,0,0,0,Nick Sciba,,,2
PIT,,0,0,0,0,0,0,0,0,0,0,Nick Sciba,,,3
PIT,,0,0,0,0,0,0,0,0,0,0,Nick Sciba,,,4
PIT,,0,0,0,0,0,0,0,0,0,0,Nick Sciba,,,5
PIT,,0,0,0,0,0,0,0,0,0,0,Nick Sciba,,,6
PIT,,0,0,0,0,0,0,0,0,0,0,Nick Sciba,,,7
PIT,,0,0,0,0,0,0,0,0,0,0,Nick Sciba,,,9
PIT,,0,0,0,0,0,0,0,0,0,0,Nick Sciba,,,10
PIT,,0,0,0,0,0,0,0,0,0,0,Nick Sciba,,,11
PIT,,0,0,0,0,0,0,0,0,0,0,Nick Sciba,,,12
ARI,,0,0,0,0,0,0,0,0,0,0,Tristan Vizcaino,,,1
ARI,,0,0,0,0,0,0,0,0,0,0,Tristan Vizcaino,,,2
ARI,,0,0,0,0,0,0,0,0,0,0,Tristan Vizcaino,,,3
ARI,,0,0,0,0,0,0,0,0,0,0,Tristan Vizcaino,,,4
ARI,,0,0,0,0,0,0,0,0,0,0,Tristan Vizcaino,,,5
ARI,,0,0,0,0,0,0,0,0,0,0,Tristan Vizcaino,,,6
ARI,,0,0,0,0,0,0,0,0,0,0,Tristan Vizcaino,,,7
ARI,,0,0,0,0,0,0,0,0,0,0,Tristan Vizcaino,,,8
ARI,,0,0,0,0,0,0,0,0,0,0,Tristan Vizcaino,,,9
ARI,,0,0,0,0,0,0,0,0,0,0,Tristan Vizcaino,,,11
ARI,,0,0,0,0,0,0,0,0,0,0,Tristan Vizcaino,,,12
FA,,0,0,0,0,0,0,0,0,0,0,Josh Lambo,,,1
FA,,0,0,0,0,0,0,0,0,0,0,Josh Lambo,,,2
FA,,0,0,0,0,0,0,0,0,0,0,Josh Lambo,,,3
FA,,0,0,0,0,0,0,0,0,0,0,Josh Lambo,,,4
FA,,0,0,0,0,0,0,0,0,0,0,Josh Lambo,,,5
FA,,0,0,0,0,0,0,0,0,0,0,Josh Lambo,,,6
FA,,0,0,0,0,0,0,0,0,0,0,Josh Lambo,,,7
FA,,0,0,0,0,0,0,0,0,0,0,Josh Lambo,,,8
FA,,0,0,0,0,0,0,0,0,0,0,Josh Lambo,,,9
FA,,0,0,0,0,0,0,0,0,0,0,Josh Lambo,,,10
FA,,0,0,0,0,0,0,0,0,0,0,Josh Lambo,,,12
TEN,,0,0,0,0,0,0,0,0,0,0,Caleb Shudak,,,1
TEN,,0,0,0,0,0,0,0,0,0,0,Caleb Shudak,,,2
TEN,,0,0,0,0,0,0,0,0,0,0,Caleb Shudak,,,3
TEN,,0,0,0,0,0,0,0,0,0,0,Caleb Shudak,,,4
TEN,,0,0,0,0,0,0,0,0,0,0,Caleb Shudak,,,5
TEN,,0,0,0,0,0,0,0,0,0,0,Caleb Shudak,,,6
TEN,,0,0,0,0,0,0,0,0,0,0,Caleb Shudak,,,7
TEN,,0,0,0,0,0,0,0,0,0,0,Caleb Shudak,,,8
TEN,,0,0,0,0,0,0,0,0,0,0,Caleb Shudak,,,9
TEN,,0,0,0,0,0,0,0,0,0,0,Caleb Shudak,,,10
TEN,,0,0,0,0,0,0,0,0,0,0,Caleb Shudak,,,11
