player_id,pos,player,team,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_sacked,pass_sacked_yds,pass_long,pass_rating,rush_att,rush_yds,rush_td,rush_long,targets,rec,rec_yds,rec_td,rec_long,fumbles_lost,rush_scrambles,designed_rush_att,comb_pass_rush_play,comb_pass_play,comb_rush_play,Opponent_abbrev,two_point_conv,total_ret_td,offensive_fumble_recovery_td,pass_target_yds,pass_poor_throws,pass_blitzed,pass_hurried,rush_yds_before_contact,rush_yac,rush_broken_tackles,rec_air_yds,rec_yac,rec_drops,vis_team,home_team,week
CookDa01,RB,Dalvin Cook,MIN,0,0,0,0,0,0,0,0,0.0,20,76,0,14,2,2,10,0,9,0,0,20,20,0,20,NOR,0,0,0,0,0,0,0,48,28,2,0.0,10,0,MIN,NOR,4
OlavCh00,WR,Chris Olave,NOR,0,0,0,0,0,0,0,0,0.0,0,0,0,0,7,4,67,1,32,0,0,0,0,0,0,MIN,0,0,0,0,0,0,0,0,0,0,137.2,2,0,MIN,NOR,4
CallMa01,WR,Marquez Callaway,NOR,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,3,53,0,33,0,0,0,0,0,0,MIN,0,0,0,0,0,0,0,0,0,0,91.2,2,0,MIN,NOR,4
TrauAd00,TE,Adam Trautman,NOR,0,0,0,0,0,0,0,0,0.0,0,0,0,0,3,3,37,0,14,0,0,0,0,0,0,MIN,0,0,0,0,0,0,0,0,0,0,14.1,23,0,MIN,NOR,4
JohnJu02,TE,Juwan Johnson,NOR,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,3,33,0,16,0,0,0,0,0,0,MIN,0,0,0,0,0,0,0,0,0,0,42.0,5,0,MIN,NOR,4
SmitTr03,WR,Tre'Quan Smith,NOR,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,1,18,0,18,0,0,0,0,0,0,MIN,0,0,0,0,0,0,0,0,0,0,22.0,1,0,MIN,NOR,4
LandJa00,WR,Jarvis Landry,NOR,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,2,7,0,6,0,0,0,0,0,0,MIN,1,0,0,0,0,0,0,0,0,0,6.0,1,0,MIN,NOR,4
DaltAn00,QB,Andy Dalton,NOR,20,28,236,1,0,2,9,33,108.6,1,3,0,3,0,0,0,0,0,1,0,1,31,30,1,MIN,1,0,0,311,3,7,1,2,1,0,0.0,0,0,MIN,NOR,4
MurrLa00,RB,Latavius Murray,NOR,0,0,0,0,0,0,0,0,0.0,11,57,1,10,1,1,8,0,8,0,0,11,11,0,11,MIN,0,0,0,0,0,0,0,42,15,0,-2.0,10,0,MIN,NOR,4
MundJo00,TE,Johnny Mundt,MIN,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NOR,0,0,0,0,0,0,0,0,0,0,1.0,0,1,MIN,NOR,4
